

1 -0.173701 2 0.646261 3 -0.161367 4 0.238219 5 -0.602863 6 0.325489 
1 0.208744 2 -0.445926 3 -0.034874 4 -0.556 5 -0.52464 6 0.414701 
1 0.358842 2 0.066719 3 -0.715326 4 0.055648 5 0.412051 6 0.426857 
1 -0.461536 2 0.275689 3 0.292509 4 -0.458522 5 0.428733 6 0.481003 
1 -0.541986 2 -0.550149 3 -0.080025 4 0.521111 5 -0.015066 6 0.354118 
1 0.539187 2 0.019411 3 0.607526 4 0.38629 5 0.086513 6 0.427912 



1 -0.173701 2 0.208744 3 0.358842 4 -0.461536 5 -0.541986 6 0.539187 
1 0.646261 2 -0.445926 3 0.066719 4 0.275689 5 -0.550149 6 0.019411 
1 -0.161367 2 -0.034874 3 -0.715326 4 0.292509 5 -0.080025 6 0.607526 
1 0.238219 2 -0.556 3 0.055648 4 -0.458522 5 0.521111 6 0.38629 
1 -0.602863 2 -0.52464 3 0.412051 4 0.428733 5 -0.015066 6 0.086513 
1 0.325489 2 0.414701 3 0.426857 4 0.481003 5 0.354118 6 0.427912 
